Адриановский переулок, Мещанской части.
Лаврентьевская улица, Лефортовской части.

Лаврентьевский переулок, Лефортовской части.

Лавров переулок, Рогожской часты.

Лаврушинский переулок, Якиманской части.

Ладожская улица, Лефортовской части.

Лазаревский переулок, Сущевской части.

Лебяжий переулок, Тверской части.

Леонтьевский переулок, Тверской части.

Лефортовский переулок, Басманной части.

Лопухинский переулок, Пречистенской части.

Лопухинский переулок, Хамовнической части.

Лоскутный переулок, Тверской части.

Лубянка Большая улица, Мясницкой части.

Лубянка Малая улица, Мясницкой части.

Лужниковская, Лужницкая улица, Пятницкой части.

Лужниковский, Лужницкий переулок, Пятницкой части.

Луков переулок, Сретенской части.

Ленивка улица, Тверской части.

Лесная улица, Сущевской части.

Лесной переулок, Сущевской части.

Лесной переулок, Сущевской части.

Лесной переулок, Пречистенской части.

Лянин переулок, Яузской части.

М
Мамоновский переулок, Арбатской части.

Maнсуровский переулок, Пречистенской части.

Марков Большой переулок, Серпуховской части.

Марков Малый переулок, Серпуховской части.

Маросейка улица, Мясницкой части.

Мартыновский переулок, Рогожской части.

Марьинский переулок, Сущевской части.

Маслеников переулок, Мещанской части.

Машков переулок, Яузской части.

Медвежий переулок, Сретенской части.

Медвежий переулок, Арбатской части.

Медовой переулок, Лефортовской части.

Мерзляковский переулок, Арбатской части.

Мажоров переулок, Мажорова улица, Лефортовской части.

Мертвый переулок, Пречистенской части.

Милютинский переулок, Мясницкой части.

Миусская площадь, Сущевской части.

Мокринский переулок, Городской части.

Молошный переулок, Яузской части.

Молошный переулок, Пречистенской части.

Молошный переулок, Лефортовской части.

Молчановка Большая улица, Арбатской части.

Молчановка Малая улица, Арбатской части.

Монетчиковский 1-й переулок, Пятницкой части.

Монетчиковский 2-й переулок, Пятницкой части.

Монетчиковский 3-й переулок, Пятницкой части.

Монетчиковский 4-й переулок, Пятницкой части.

Монетчиковский 5-й переулок, Пятницкой части.

Москворецкая улица, Городской части.

Моховая улица, Тверской части.

Мухина гора улица, Хамовнической части.

Мытная Большая улица, Серпуховской части.

Мытный переулок, Городской части.

Мещанская 1-я улица, Мещанской части.

Мещанская 2-я улица, Мещанской части.

Мещанская 3-я улица, Мещанской части.

Мясницкая улица, Мясницкой части.

Мясницкий проезд улица, Мясницкой части.

Мясной переулок, Сретенской части.

Н
Налесный переулок, Лефортовской части.

Нащокинский переулок, Пречистенской части.

Неглинная улица, Тверской части.

Неопалимовский переулок, Хамовнической части.

Несвицкий переулок, Хамовнической части.

Нижних Пресненских прудов улица, Пресненской части.

Никитская Большая улица, Тверской и Арбатской части.

Никитская Малая улица, Арбатской части.

Никитский переулок, Пятницкой части.

Никитский переулок, Яузской части.

Николоболвановская Верхняя улица, Яузской части.

Николоболвановская Нижняя улица, Яузской части.

Николопесковский переулок, Арбатской части.

Николопесковский Малый переулок, Арбатской части.

Николоямская улица, Рогожской части.

Николоямской переулок, Рогожской части.

Никольская улица, Городской части.

Никольская улица, Пресненской части.

Никольский Большой переулок, Пресненской части.

Никольский Малый переулок, Пресненской части.

Никольский 1-й переулок, Пресненской части.

Никольский 2-й переулок, Пресненской части.

Никольский на Новом Ваганькове переулок, Пресненской части.

Никольский переулок, Пресненской части.

Никольский Большой переулок, Басманной части.

Никольский Малый лереулок, Басманной части.

Никольский переулок, Пречистенской части.

Никольский переулок, Лефортовской части.

Никольский переулок, Хамовнической части.

Новая улица, Сущевской части.

Новинский вал улица, Пресненской части.

Новинский переулок, Пресненской части.

Новосельская улица, Рогожской части.

Новосельский переулок, Рогожской части.

Новый переулок, Пресненской части.

Ножевой переулок, Арбатской части.

Немецкая улица, Басманной и Лефортовской части.

О
Обжорный переулок, Тверской части.

Оболенский переулок, Хамовнической части.

Обухов переулок, Пречистенской части.

Овчинниковский Большой переулок, Пятницкой части.

Овчинниковский Малый переулок, Пятницкой части.

Огородный Старый переулок, Якиманской части.

Огородный Новый переулок, Якиманской части.

Озерковский переулок, Пятницкой части.

Ольховская улица, Басманной части.

Ольховский Большой переулок, Басманной части.

Ольховецкий Малый переулок, Басманной части.

Ордынка Большая улица, Пятницкой части.

Ордынка Малая улица, Пятницкой части.

Орловский переулок, Сущевской части.

Оружейный переулок, Сущевской части.

Остоженка улица, Пречистенской части.

П
Павловский переулок, Серпуховской части.

Палашевский переулок, Арбатской части.

Палиха улица, Сущевской части.

Палошный переулок, Лефортовской части.

Пальчиков переулок, Мещанской части.

Панкратьевский переулок, Сретенской части.

Панфиловский переулок, Пресненской части.

Парфеновский переулок, Якиманской части.

Патриарший Большой переулок, Арбатской части.

Переведенский Большой переулок, Лефортовской части.

Переведенский Малый переулок, Лефортовской части.

Переведенский переулок, Лефортовской части.

Переславский переулок, Мещанской части.

Пестовский переулок, Рогожской части.

Петроверигский переулок, Мясницкой части.

Петровка улица, Тверской и Сретенской части.

Петропавловская улица, Серпуховской части.

Петропавловский переулок, Басманной части.

Петропавловский переулок, Мясницкой части.

Петропавловская улица, Лефортовской части.

Петропавловский переулок, Лефортовской части.

Петропавловский переулок, Якиманской части.

Петропавловский Малый переулок, Якиманской части.

Печатниковский переулок, Сретенской части.

Пильников переулок, Сретенской части.

Пименовская улица, Сущевской части.

Пименовский переулок, Сретенской части.

Плетешковский, Плетешки переулок, Басманной части.

Плющиха улица, Хамовнической части.

Поварская улица, Арбатской части.

Подкопаевский Большой переулок, Мясницкой части.

Подкопаевский Малый переулок, Мясницкой части.

Покровка улица, Мясницкой части.

Покровская улица, Лефортовской части.

Покровский переулок, Пречистенской части.

Покровский переулок, Рогожской части.

Покровский переулок, Яузской части.

Полевой 1-й переулок, Лефортовской части.

Полевой 2-й переулок, Лефортовской части.

Полевой 3-й переулок, Лефортовской части.

Полевой 4-й переулок, Лефортовской части.

Полуектовский переулок, Пречистенской части.

Полуектов переулок, Хамовнической части.

Полуярославский Большой переулок, Басманной части.

Полуярославский Малый переулок, Басманной части.

Полянка Большая улица, Якиманской части.

Полянский переулок, Якиманской части.

Посланников переулок, Лефортовской части.

Предтеченский Большой переулок, Пресненской части.

Предтеченский переулок, Пресненской части.

Предтеченский Малый переулок, Пресненской части.

Предтеченский Нижний переулок, Пресненской части.

Преображенская улица, Лефортовской части.

Преображенский переулок, Лефортовской части.

Пречистенка улица, Тверской и Пречистенской части.

Прогонный переулок, Пресненской части.

Просвирнин переулок, Сретенской части.

Просвирнин переулок, Лефортовской части.

Протопоповский переулок, Мещанской части.

Проточный переулок, Пресненской части.

Проезжий 1-й переулок, Рогожской части.

Пресненская Большая улица, Пресненской части.

Пресненская Средняя улица, Пресненской части.

Пресненская Нижняя улица, Пресненской части.

Псковский переулок, Городской части.

Пуговишников переулок, Хамовнической части.

Пупышевский переулок, Пятницкой части.

Пустая улица, Рогожской части.

Пустой переулок, Лефортовской части.

Путинковский переулок, Сретенской части.

Певческий переулок, Городской части.

Пятницкая улица, Пятницкой части.

Р
Расторгуевский переулок, Пресненской части.

Рахмановский переулок, Тверской части.

Ремизовский переулок, Серпуховской части.

Ржевский переулок, Арбатской части.

Ризположенский, Ризский переулок, Серпуховской части.

1-я, 2-я и 3-я Рогожские улицы, Рогожской части.

Первая Рогожская улица.

Рождественка улица, Мясницкой части.

Ружейный, Оружейный переулок, Хамовнической части.

Руновский переулок, Пятницкой части.

Рыбников переулок, Сретенской части.

Рыбный переулок, Городской части.

Рыкунов переулок, Лефортовской части.

С
Саввинский переулок, Хамовнической части.

Савеловский переулок, Пречистенской части.

Садовническая улица, Пятницкой части.

Салтыковская улица,Сущевской и Мещанской части.

Салтыковский переулок, Тверской части.

Салтыковская улица, Лефортовской части.

Салтыковский переулок, Мещанской части.

Самотецкая улица, Сущевской части.

Сандуновский переулок, Мясницкой части.

Свиньинский переулок, Мясницкой части.

Селезневская улица, Сущевской части.

Селиверстов переулок, Сретенской части.

Семеновская Большая улица, Лефортовской части.

Семеновская Малая улица, Лефортовской части.

Семеновская улица, Рогожской части.

Семеновский переулок, Рогожской части.

Сенатский переулок, Лефортовской части.

Сергиевский переулок, Сретенской части.

Сергиевский Малый переулок, Сретенской части.

Серебряный переулок, Арбатской части.

Серебренический переулок, Яузской части.

Серпуховская Большая и Серпуховская Малая улицы, Серпуховской части.

Сивцев вражек улица, Пречистенской части.

Свяков переулок, Рогожской части.

Скарятинский переулок, Арбатской части.

Скатертный переулок, Арбатской части.

Скорняжный переулок, Мещанской части.

Слободской переулок, Басманной части.

Словущенский переулок, Пятницкой части.

Стирнов переулок, Пресненской части.

Смоленская улица, Хамовнической части.

Собачья площадка, Арбатской части.

Соболев переулок, Сретенской части.

Соколовский переулок, Пресненской части.

Солянка улица, Мясницкой части.

Сорокосвятская улица, Рогожской части.

Сорокосвятский 1-й переулок, Рогожской части.

Сорокосвятский 2-й переулок, Рогожской части.

Сорокоумовский переулок, Якиманской части.

Софийская улица, Мясницкой части.

Спасоглинищевский Большой переулок, Мясницкой части.

Спасоглинищевский Малый переулок, Мясницкой части.

Спасопесковский переулок, Арбатской части.

Спасочигасовский переулок, Яузской части.

Спасская улица, Мещанской части.

Спасский переулок, Мещанской части.

Спасский переулок, Тверской части.

Спасский переулок, Якиманской части.

Спасский Большой переулок, Сретенской части.

Спасский Средний переулок, Сретенской части.

Спасский Малый переулок, Сретенской части.

Спиридоньевская улица, Арбатской части.

Спиридоньевский переулок, Арбатской части.

Срединский переулок, Мещанской части.

Средний переулок, Сущевской части.

Сретенка улица, Сретенской части.

Сретенский переулок, Мясницкой части.

Староконюшенный переулок, Пречистенской части.

Столешниковский переулок, Тверской части.

Столовый переулок, Арбатской части.

Стремянской переулок, Серпуховской части.

Стромынка улица, Лефортовской части.

Строченов Большой переулок, Серпуховской части.

Строченов Малый переулок, Серпуховской части.

Стрелецкой переулок, Сретенской части.

Суворова улица, Лефортовской части.

Сумиков переулок, Сретенской части.

Сусальный переулок, Басманной части.

Сущевская улица, Сущевской части.

Съезжинский переулок, Рогожской части.

Сыромятническая улица, Басманной части.

Сыромятнический переулок, Басманной части.

Сытинский переулок, Арбатской части.

Т
Татарская улица, Пятницкой части.

Тверская улица, Тверской части.

Тверская Ямская Большая улица, Пресненской и Сущевской части.

Тверская Ямская 2-я улица, Пресненской части.

Тверская Ямская 3-я улица, Пресненской части.

Тверская Ямская 4-я, Тверская Ямская Малая и Тверская Ямская Верхняя улицы, Сущевской части.

Теплый Большой переулок, Хамовнической части.

Теплый Малый переулок, Хамовнической части.

Тетеринский переулок, Яузской части.

Титовский переулок, Серпуховской части.

Тихвинская улица, Сущевской части.

Тихвинский переулок, Сущевской части.

Тихвинский Большой переулок, Хамовнической части.

Тихвинский Малый переулок, Хамовнической части.

Тишинский 1-й переулок, Хамовнической части.

Тишинский 2-й переулок, Хамовнической части.

Тишинский Малый переулок, Хамовнической части.

Тишинский 1-й переулок, Пресненской части.

Тишинский 2-й переулок, Пресненской части.

Токмаков переулок, Басманной части.

Толмачевский Большой переулок, Якиманской части.

Толмачевский Малый переулок, Якиманской части.

Толстовский Большой, Толстовский Малый переулки, Арбатской части.

Трехгорный переулок, Пресненской части.

Трехпрудный Трехпрудковский переулок, Арбатской части.

Трех-Святительский Большой и Трех-Святительский Малый переулки, Мясницкой части.

Трех-Святительский переулок, Яузской части.

Трифоновский переулок, Сущевской части.

Троилинский переулок, Арбатской части.

Троицкая улица, Мещанской части.

Троицкий Большой переулок, Мещанской части.

Троицкий Малый переулок, Мещанской части.

Троицкий переулок, Пречистенской части.

Троицкий переулок, Мещанской части.

Троицкий Большой переулок, Серпуховской части.

Троицкий Малый переулок, Серпуховской части.

Троицкий Малый, Троицкий Средний переулки, Серпуховской части.

Троицкий Большой переулок, Басманной части.

Троицкий Малый переулок, Басманной части.

Трубецкой переулок, Хамовнической части.

Трубецкой Малый переулок, Хамовнической части.

Трубниковский переулок, Арбатской части.

Трубный Большой переулок, Хамовнической части.

Трубный Малый переулок, Хамовнической части.

Тупик переулок, Басманной части.

Тупой переулок, Басманной части.

Тупой переулок, Мещанской части.

Тупой Кадашевский переулок, Якиманской части.

Тупой переулок, Яузской части.

У
Уланский, Уланов переулок, Сретенской части.

Усачев переулок, Хамовнической части.

Успенский Большой переулок, Мясницкой части.

Успенский Малый переулок, Мясницкой части.

Успенский переулок, Яузской части.

Успенский Большой переулок, Серпуховской части.

Успенский Малый переулок, Серпуховской части.

Успенский переулок, Пречистенской части.

Успенский Малый переулок, Пречистенской части.

Успенский переулок, Якиманской части.

Успенский переулок, Сретенской части.

Устьинский Большой переулок, Яузской части.

Устьинский Малый переулок, Яузской части.

Ушаковский 1-й, Ушаковский 2-й и Ушаковский 3-й переулки, Пречистенской части.

Ф
Фалеевский переулок, Якиманской части.

Филипповский переулок, Пречистенской части.

Фроловский переулок, Якиманской части.

Фуркасовский переулок, Мясницкой части.

Фурманный переулок, Яузской части.

Х
Хамовническая улица, Хамовнической части.

Хапиловская улица, Лефортовской части.

Хапиловский переулок, Лефортовской части.

Харитоньевский Большой переулок, Яузской части.

Харитоньевский Малый переулок, Яузской части.

Хитровский переулок, Яузской части.

Хлыновский переулок, тупик, Тверской части.

Хлебников переулок, Рогожской части.

Хлебный переулок, Хлебенная улица, Арбатской части.

Хохловский переулок, Мясницкой части.

Хрущевский переулок, Пречистенской части.

Хрустальный переулок, Городской части.

Ц
Царицынская улица, Царицына Слобода, Хамовнической части.

Ч
Чашниковский переулок, Арбатской части.

Черкаский Большой переулок, Городской части.

Черкаский Малый переулок, Городской части.

Черниговский переулок, Пятницкой части.

Чернышевский переулок, Тверской части.

Чудовский переулок, Хамовнической части.

Чуловский Малый переулок, Хамовнической части.

Чудовский переулок, Яузской части.

Чухинской Новый переулок, Пресненской части.

Ш
Шаболовка улица, Серпуховской части.

Шапкин переулок, Якиманской части.

Шелапутинский переулок, Рогожской части.

Шереметьевский переулок, Тверской части.

Штатный переулок, Пречистенской части.

Шубинский переулок, Пресненской части.

Щ
Щемиловский переулок, Сущевской части.

Щеповский переулок, Пресненской части.

Щипок улица, Серпуховской части.


Ехалова, Eлохова улица, Басманной части.

Ю
